player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_sca_sca,header_sca_sca_per90,header_sca_types_sca_passes_live,header_sca_types_sca_passes_dead,header_sca_types_sca_dribbles,header_sca_types_sca_shots,header_sca_types_sca_fouled,header_gca_gca,header_gca_gca_per90,header_gca_types_gca_passes_live,header_gca_types_gca_passes_dead,header_gca_types_gca_dribbles,header_gca_types_gca_shots,header_gca_types_gca_fouled,header_gca_types_gca_og_for,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,62,2.23,32,23,3,2,2,5,0.18,3,1,1,0,0,0,Matches
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,54,1.50,42,2,3,3,4,3,0.08,1,1,0,0,1,0,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,16,0.57,11,0,0,4,1,1,0.04,1,0,0,0,0,0,Matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,2,1.15,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,45,2.23,27,14,1,2,1,4,0.20,2,1,0,1,0,0,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,12,1.73,8,0,0,0,4,1,0.14,0,0,0,0,1,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,11,0.59,10,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,47,1.91,33,0,6,6,2,10,0.41,4,0,3,2,1,0,Matches
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,10,1.36,8,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,33.5,26,0.78,23,0,1,1,1,3,0.09,3,0,0,0,0,0,Matches
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,24,1.94,15,0,3,2,4,5,0.41,2,0,1,0,2,0,Matches
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,18,1.70,14,1,0,2,1,2,0.19,1,0,0,0,1,0,Matches
