player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_passes_total_passes_completed,header_passes_total_passes,header_passes_total_passes_pct,header_passes_total_passes_total_distance,header_passes_total_passes_progressive_distance,header_passes_short_passes_completed_short,header_passes_short_passes_short,header_passes_short_passes_pct_short,header_passes_medium_passes_completed_medium,header_passes_medium_passes_medium,header_passes_medium_passes_pct_medium,header_passes_long_passes_completed_long,header_passes_long_passes_long,header_passes_long_passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1227,1558,78.8,21238,9268,16,56,28.6,1018,1172,86.9,193,330,58.5,2,3.2,-1.2,32,85,25,5,216,Matches
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1316,1684,78.1,20283,6833,32,96,33.3,1135,1315,86.3,149,273,54.6,1,3.7,-2.7,24,44,32,13,123,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1328,1515,87.7,29513,9041,9,23,39.1,851,924,92.1,468,568,82.4,0,0.2,-0.2,2,45,3,0,83,Matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,18,40,45.0,316,132,0,5,0.0,16,28,57.1,2,7,28.6,0,0.2,-0.2,1,2,2,1,5,Matches
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,801,957,83.7,14638,3850,6,21,28.6,632,686,92.1,163,250,65.2,2,1.4,+0.6,26,85,6,4,82,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,74,132,56.1,1085,199,9,21,42.9,57,97,58.8,8,14,57.1,0,1.0,-1.0,5,5,2,0,8,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,742,896,82.8,16639,6079,6,16,37.5,483,547,88.3,253,333,76.0,0,0.1,-0.1,2,75,7,0,108,Matches
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,288,413,69.7,4211,813,26,54,48.1,223,306,72.9,39,53,73.6,3,2.5,+0.5,18,16,5,0,32,Matches
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,298,342,87.1,4705,1028,11,22,50.0,258,280,92.1,29,40,72.5,0,0.1,-0.1,4,19,5,3,24,Matches
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,33.5,1711,1901,90.0,39241,12025,15,32,46.9,1087,1154,94.2,609,715,85.2,2,1.5,+0.5,7,132,14,3,120,Matches
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,184,265,69.4,2932,632,10,26,38.5,150,196,76.5,24,43,55.8,2,1.4,+0.6,11,12,3,0,21,Matches
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,595,699,85.1,9793,2653,12,29,41.4,494,554,89.2,89,116,76.7,0,0.6,-0.6,6,30,8,2,52,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,140,191,73.3,2008,429,4,16,25.0,119,150,79.3,17,25,68.0,1,0.6,+0.4,7,5,4,2,17,Matches
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,4,6,66.7,121,98,0,0,,2,2,100.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,Matches
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.0,36,41,87.8,490,60,2,2,100.0,29,34,85.3,5,5,100.0,0,0.2,-0.2,2,1,0,0,1,Matches
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,61,80,76.3,1113,358,2,3,66.7,47,57,82.5,12,20,60.0,0,0.0,0.0,0,6,0,0,8,Matches
