player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_minutes,header_playing_minutes_per_game,header_playing_minutes_pct,header_playing_minutes_90s,header_playing_games_starts,header_starts_minutes_per_start,header_starts_games_subs,header_subs_minutes_per_sub,header_subs_unused_subs,header_subs_points_per_match,header_team_success_on_goals_for,header_team_success_on_goals_against,header_team_success_plus_minus,header_team_success_plus_minus_per90,header_team_success_plus_minus_wowy,header_team_success_on_xg_for,header_xg_team_success_on_xg_against,header_xg_team_success_xg_plus_minus,header_xg_team_success_xg_plus_minus_per90,header_xg_team_success_xg_plus_minus_wowy,header_xg_team_success_matches
Ismael Aaneba,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,0,,,,,0,,0,,8,,,,,,,,,,,,Matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,"2,507",86,73.3,27.9,29,86,0,,0,1.24,21,38,-17,-0.61,-0.41,27.2,37.6,-10.3,-0.37,+0.22,Matches
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,"3,240",90,94.7,36.0,36,90,0,,0,0.50,23,71,-48,-1.33,-0.83,37.5,59.2,-21.7,-0.60,+0.07,Matches
Diego Abbrandini,it ITA,GK,Brescia,it Serie A,17,2001,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,"2,520",90,100.0,28.0,28,90,0,,0,1.46,26,21,+5,+0.18,,29.2,27.0,+2.2,+0.08,,Matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,6,157,26,5.1,1.7,1,57,5,20,5,0.67,2,5,-3,-1.72,-1.29,3.2,3.6,-0.4,-0.21,+0.21,Matches
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,"1,817",73,72.1,20.2,20,85,5,22,1,1.44,20,25,-5,-0.25,-0.50,20.1,27.7,-7.6,-0.38,-0.58,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,623,42,24.7,6.9,6,73,9,20,1,0.93,7,14,-7,-1.01,-0.58,7.9,9.6,-1.8,-0.26,-0.05,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,"1,688",84,55.2,18.8,19,86,1,61,5,1.85,32,27,+5,+0.27,+0.66,26.0,24.0,+2.0,+0.11,+0.06,Matches
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,"2,215",65,64.8,24.6,25,81,9,20,0,1.82,45,34,+11,+0.45,+0.15,45.2,26.9,+18.2,+0.74,-0.16,Matches
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,663,51,21.7,7.4,8,74,5,14,14,1.62,9,9,0,0.00,-0.04,9.1,12.6,-3.5,-0.48,+0.11,Matches
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,34,"3,014",89,93.0,33.5,34,89,0,,1,2.03,71,36,+35,+1.05,+0.25,59.9,44.7,+15.1,+0.45,+0.13,Matches
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,30,"1,111",37,32.5,12.3,12,73,18,13,6,1.47,17,17,0,0.00,+0.35,18.2,16.7,+1.5,+0.12,+0.15,Matches
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,14,953,68,31.1,10.6,10,82,4,33,1,1.71,14,13,+1,+0.09,-1.74,18.8,12.3,+6.5,+0.62,-0.56,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,15,746,50,24.4,8.3,6,80,9,30,3,1.93,16,10,+6,+0.72,+0.96,13.4,15.3,-2.0,-0.24,-0.30,Matches
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,25,25,0.7,0.3,0,,1,25,37,0.00,0,0,0,0.00,-0.64,0.5,0.1,+0.4,+1.49,+0.91,Matches
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,9,177,20,5.5,2.0,0,,9,20,21,1.44,3,4,-1,-0.51,-1.63,4.8,3.3,+1.5,+0.77,+0.35,Matches
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,5,231,46,7.1,2.6,2,90,3,17,26,0.60,5,7,-2,-0.78,-0.72,3.7,4.3,-0.6,-0.23,-0.13,Matches
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,4,46,12,1.8,0.5,0,,4,11,3,0.00,0,0,0,0.00,+1.31,0.3,0.8,-0.5,-1.00,-0.55,Matches
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,21,"1,020",49,40.5,11.3,11,76,10,19,1,1.33,17,11,+6,+0.53,+0.53,11.3,12.0,-0.7,-0.06,+0.13,Matches
Andrea Adorante,it ITA,FW,Parma,it Serie A,19,2000,0,,,,,0,,0,,7,,,,,,,,,,,,Matches
Amir Adouyev,fr FRA,MF,Montpellier,fr Ligue 1,20,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11,875,80,25.6,9.7,9,90,2,33,27,3.00,24,10,+14,+1.44,+0.10,18.0,9.9,+8.0,+0.82,+0.06,Matches
Daniel Adshead,eng ENG,MF,Norwich City,eng Premier League,17,2001,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,14,208,15,6.1,2.3,0,,14,15,3,1.29,2,1,+1,+0.43,+0.38,2.8,2.5,+0.3,+0.13,+0.35,Matches
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,23,"1,805",78,52.8,20.1,20,83,3,49,3,1.04,24,33,-9,-0.45,+0.44,22.8,27.7,-4.9,-0.24,+0.63,Matches
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,31,"2,099",68,61.4,23.3,23,84,8,22,5,1.00,20,38,-18,-0.77,-0.29,22.6,37.4,-14.8,-0.63,-0.55,Matches
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,3,68,23,2.1,0.8,0,,3,23,19,1.67,3,3,0,0.00,-1.16,3.8,2.0,+1.8,+2.41,+1.55,Matches
Kevin Agudelo,co COL,"FW,DF",Fiorentina,it Serie A,20,1998,2,10,5,0.3,0.1,0,,2,5,12,1.50,0,2,-2,-18.00,-17.97,0.0,0.7,-0.6,-5.73,-5.82,Matches
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,10,666,67,20.6,7.4,7,86,3,22,5,0.60,8,11,-3,-0.41,+0.33,8.5,11.3,-2.8,-0.38,-0.11,Matches
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,11,957,87,38.0,10.6,11,87,0,,3,1.27,9,13,-4,-0.38,-0.03,12.0,16.5,-4.5,-0.42,+0.11,Matches
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,24,"1,452",61,42.5,16.1,18,75,6,16,2,2.08,43,18,+25,+1.55,-0.37,40.0,16.0,+24.1,+1.49,-0.07,Matches
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,19,"1,072",56,42.5,11.9,11,83,8,20,5,1.32,20,16,+4,+0.34,+0.58,21.3,17.8,+3.6,+0.30,0.00,Matches
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,9,228,25,7.0,2.5,2,78,7,10,8,1.78,3,6,-3,-1.18,-1.15,2.1,4.4,-2.3,-0.91,-0.86,Matches
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,11,630,57,25.0,7.0,8,61,3,47,3,1.00,8,10,-2,-0.29,+0.38,10.1,10.9,-0.7,-0.11,+0.15,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,32,"2,502",78,73.2,27.8,27,89,5,20,5,0.97,24,34,-10,-0.36,-0.16,29.2,31.2,-2.0,-0.07,+0.21,Matches
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,30,"2,028",68,62.6,22.5,20,84,10,34,5,1.17,34,40,-6,-0.27,+0.85,29.4,37.2,-7.9,-0.35,+0.47,Matches
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,12,536,45,21.3,6.0,6,79,6,10,5,1.17,7,6,+1,+0.17,-0.06,6.3,7.2,-0.9,-0.14,-0.01,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,17,"1,282",75,50.9,14.2,16,79,1,19,0,1.53,18,17,+1,+0.07,+0.51,15.5,14.5,+1.0,+0.07,+0.22,Matches
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,9,139,15,4.1,1.5,0,,9,15,19,0.22,2,3,-1,-0.65,-0.32,2.7,1.7,+1.0,+0.66,+1.15,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,26,"2,058",79,84.7,22.9,24,84,2,20,1,1.46,31,21,+10,+0.44,+2.86,29.9,24.5,+5.5,+0.24,+0.53,Matches
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,29,"2,309",80,75.5,25.7,25,90,4,16,2,2.14,70,31,+39,+1.52,+1.04,47.9,30.0,+17.8,+0.69,+0.70,Matches
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,9,99,11,3.9,1.1,0,,9,10,15,1.89,3,3,0,0.00,-0.45,2.4,1.5,+0.8,+0.76,+0.66,Matches
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,29,"2,503",86,73.2,27.8,29,86,0,,1,0.93,30,47,-17,-0.61,+0.17,32.2,41.3,-9.1,-0.33,+0.13,Matches
Sergio Akieme,es ESP,DF,Barcelona,es La Liga,21,1997,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,15,544,36,21.6,6.0,5,65,10,22,6,0.87,7,16,-9,-1.49,-1.03,7.0,9.3,-2.3,-0.38,-0.04,Matches
Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,18,"1,142",63,37.3,12.7,12,86,6,18,14,1.50,19,19,0,0.00,0.00,19.5,21.1,-1.5,-0.12,-0.17,Matches
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,28,"2,498",89,81.6,27.8,27,90,1,79,3,2.46,86,24,+62,+2.23,+1.27,68.2,27.6,+40.6,+1.46,+0.29,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,17,"1,400",82,55.6,15.6,17,82,0,,8,0.76,13,23,-10,-0.64,-0.24,15.7,23.7,-8.0,-0.51,-0.06,Matches
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,24,"1,174",49,38.4,13.0,11,85,13,18,9,1.58,18,20,-2,-0.15,-1.06,21.0,17.8,+3.3,+0.25,-0.13,Matches
Fabrizio Alastra,it ITA,GK,Parma,it Serie A,21,1997,0,,,,,0,,0,,20,,,,,,,,,,,,Matches
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,27,"2,187",81,63.9,24.3,25,86,2,23,2,2.04,53,23,+30,+1.23,-0.08,42.2,23.0,+19.2,+0.79,-0.01,Matches
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34,"2,933",86,90.5,32.6,34,86,0,,0,2.12,72,34,+38,+1.17,+1.46,58.7,41.9,+16.8,+0.52,+0.77,Matches
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,"3,237",90,94.6,36.0,36,90,0,,1,1.67,61,44,+17,+0.47,+1.95,55.6,42.0,+13.6,+0.38,+1.32,Matches
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,20,867,43,25.4,9.6,9,69,11,22,16,1.45,16,11,+5,+0.52,-0.22,14.0,12.2,+1.8,+0.19,-0.30,Matches
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,13,924,71,27.0,10.3,11,77,2,36,1,1.77,14,13,+1,+0.10,-0.37,13.7,11.2,+2.4,+0.24,-0.09,Matches
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,11,530,48,17.3,5.9,6,78,5,13,3,1.64,13,12,+1,+0.17,-1.32,10.7,7.5,+3.2,+0.55,+0.03,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,24,"1,771",74,57.9,19.7,20,85,4,17,1,2.17,54,23,+31,+1.58,-1.01,49.1,22.2,+26.9,+1.37,-0.09,Matches
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,27,"1,927",71,56.3,21.4,20,85,7,33,3,1.15,17,25,-8,-0.37,-0.19,20.2,26.3,-6.1,-0.29,-0.01,Matches
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,33,"2,957",90,86.5,32.9,33,90,0,,5,1.64,53,39,+14,+0.43,+0.43,40.7,44.6,-3.9,-0.12,+0.40,Matches
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,22,"1,916",87,76.0,21.3,21,89,1,51,6,0.86,27,42,-15,-0.70,-0.11,23.3,31.0,-7.8,-0.36,-0.08,Matches
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,6,109,18,3.2,1.2,0,,6,18,1,0.67,2,2,0,0.00,+0.68,1.5,2.1,-0.6,-0.52,+0.02,Matches
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,4,172,43,5.0,1.9,2,68,2,19,6,1.75,5,1,+4,+2.09,+0.87,3.0,1.3,+1.7,+0.89,+0.10,Matches
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,17,735,43,21.5,8.2,7,75,10,21,3,0.88,10,12,-2,-0.24,+0.09,9.4,11.8,-2.4,-0.29,-0.30,Matches
Diego Alende,es ESP,DF,Valladolid,es La Liga,21,1997,0,,,,,0,,0,,5,,,,,,,,,,,,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,901,82,35.8,10.0,9,90,2,45,15,0.64,8,17,-9,-0.90,-0.84,11.0,16.1,-5.1,-0.51,-0.03,Matches
Alexander,ar ARG,"FW,MF",Leganés,es La Liga,30,1988,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,38,"3,175",84,92.8,35.3,35,88,3,26,0,2.61,80,31,+49,+1.39,+0.29,67.1,39.7,+27.5,+0.78,+0.03,Matches
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,4,279,70,8.6,3.1,4,70,0,,21,0.75,4,4,0,0.00,+1.28,7.6,2.8,+4.8,+1.55,+2.63,Matches
Abdallah Ali Mohamed,km COM,DF,Marseille,fr Ligue 1,20,1999,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
Marco Alia,al ALB,GK,Lazio,it Serie A,19,2000,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,28,"1,563",56,62.0,17.4,17,75,11,27,0,1.39,14,21,-7,-0.40,-0.59,17.4,20.6,-3.2,-0.19,-0.39,Matches
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,29,"2,543",88,74.4,28.3,29,88,0,,0,2.48,61,23,+38,+1.34,-0.09,52.8,31.5,+21.3,+0.75,-0.09,Matches
Allan,br BRA,MF,Napoli,it Serie A,28,1991,22,"1,254",57,38.7,13.9,16,75,6,8,4,1.59,20,19,+1,+0.07,-0.38,21.4,16.7,+4.7,+0.34,-0.40,Matches
Thomas Allan,eng ENG,MF,Newcastle Utd,eng Premier League,19,1999,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,25,"1,847",74,54.0,20.5,21,84,4,19,3,1.40,31,25,+6,+0.29,-0.17,28.2,30.1,-1.9,-0.09,+0.18,Matches
Samuel Almeida Costa,it ITA,FW,Lecce,it Serie A,18,2000,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,36,"3,021",84,88.3,33.6,35,85,1,58,1,1.22,35,48,-13,-0.39,+1.19,31.0,51.2,-20.3,-0.60,+0.39,Matches
José Alonso Lara,es ESP,MF,Sevilla,es La Liga,19,2000,0,,,,,0,,0,,5,,,,,,,,,,,,Matches
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,18,"1,430",79,41.8,15.9,15,87,3,41,9,2.22,39,18,+21,+1.32,+1.59,31.4,16.2,+15.2,+0.96,+0.28,Matches
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,17,"1,378",81,54.7,15.3,15,89,2,19,6,0.88,11,23,-12,-0.78,-0.94,15.1,22.0,-6.9,-0.45,+0.09,Matches
Diego Altube,es ESP,GK,Real Madrid,es La Liga,19,2000,0,,,,,0,,0,,10,,,,,,,,,,,,Matches
Iñaki Álvarez Goñi,es ESP,GK,Osasuna,es La Liga,22,1997,0,,,,,0,,0,,7,,,,,,,,,,,,Matches
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,180,90,5.3,2.0,2,90,0,,18,1.25,5,4,+1,+0.50,+0.86,2.8,1.4,+1.5,+0.74,+0.91,Matches
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,18,"1,147",64,33.5,12.7,14,78,4,15,9,1.28,14,19,-5,-0.39,+0.08,14.5,17.1,-2.6,-0.21,+0.06,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,32,"2,810",88,82.2,31.2,32,88,0,,4,1.38,36,27,+9,+0.29,+1.17,33.7,37.2,-3.4,-0.11,+0.51,Matches
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,31,"2,536",82,78.3,28.2,29,86,2,14,0,1.32,36,40,-4,-0.14,-0.53,30.6,49.3,-18.7,-0.66,-0.75,Matches
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,19,"1,188",63,34.7,13.2,12,90,7,16,3,1.11,19,18,+1,+0.08,+0.72,16.6,18.6,-2.0,-0.15,+0.27,Matches
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,11,759,69,22.2,8.4,8,84,3,28,9,0.73,8,20,-12,-1.42,-0.17,10.2,17.1,-6.9,-0.82,-0.28,Matches
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,10,770,77,22.5,8.6,9,82,1,28,5,1.50,7,10,-3,-0.35,+0.26,7.8,8.9,-1.1,-0.13,-0.08,Matches
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,26,"1,695",65,67.3,18.8,18,83,8,24,2,1.04,18,25,-7,-0.37,-0.04,19.9,26.7,-6.7,-0.36,+0.40,Matches
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,7,66,9,1.9,0.7,0,,7,9,11,0.57,0,2,-2,-2.73,-2.94,1.0,2.7,-1.8,-2.43,-2.45,Matches
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,26,"2,164",83,85.9,24.0,24,88,2,24,1,2.04,36,22,+14,+0.58,+1.09,31.1,24.7,+6.4,+0.27,+1.02,Matches
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,18,548,30,21.7,6.1,4,78,14,17,8,1.06,6,10,-4,-0.66,-0.47,8.6,9.1,-0.5,-0.08,+0.23,Matches
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,20,"1,633",82,64.8,18.1,17,90,3,34,0,0.60,20,43,-23,-1.27,+0.05,21.9,30.0,-8.1,-0.44,+0.02,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,30,"1,857",62,60.7,20.6,22,79,8,15,4,1.70,31,25,+6,+0.29,-0.53,29.0,27.1,+1.9,+0.09,-0.60,Matches
Iván Amores,es ESP,MF,Leganés,es La Liga,22,1997,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,3,81,27,2.6,0.9,0,,3,27,17,3.00,3,1,+2,+2.22,+0.95,1.5,0.5,+1.0,+1.11,+0.11,Matches
