player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_touches_touches,header_touches_touches_def_pen_area,header_touches_touches_def_3rd,header_touches_touches_mid_3rd,header_touches_touches_att_3rd,header_touches_touches_att_pen_area,header_touches_touches_live_ball,header_dribbles_dribbles_completed,header_dribbles_dribbles,header_dribbles_dribbles_completed_pct,header_dribbles_players_dribbled_past,header_dribbles_nutmegs,header_carries_carries,header_carries_carry_distance,header_carries_carry_progressive_distance,header_receiving_pass_targets,header_receiving_passes_received,header_receiving_passes_received_pct,miscontrols,dispossessed,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1839,95,529,883,532,51,1458,18,36,50.0,18,2,1000,5651,3130,1079,994,92.1,21,16,Matches
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,2133,178,803,903,594,52,1821,49,94,52.1,55,2,1321,9483,5431,1399,1244,88.9,39,48,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1856,256,1131,801,61,27,1782,21,26,80.8,21,0,1201,7673,4306,1266,1236,97.6,12,8,Matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,62,1,9,22,33,10,62,2,4,50.0,3,1,37,279,177,77,39,50.6,6,2,Matches
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1176,22,211,754,283,20,1091,12,22,54.5,12,0,782,4298,2116,854,759,88.9,14,26,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,208,7,18,108,95,23,196,16,21,76.2,16,0,136,938,492,309,142,46.0,25,12,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,1072,108,481,588,87,11,1021,9,11,81.8,11,1,662,4121,2352,639,619,96.9,6,2,Matches
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,740,31,59,355,352,165,689,21,36,58.3,22,0,427,2315,1159,1076,496,46.1,71,47,Matches
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,438,21,140,257,64,3,423,7,11,63.6,7,0,292,1479,573,288,261,90.6,9,7,Matches
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,33.5,2246,360,1159,1100,182,31,2170,15,17,88.2,15,0,1472,11188,6015,1548,1508,97.4,8,7,Matches
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,441,10,35,203,235,68,433,15,27,55.6,15,1,308,1837,841,657,315,47.9,44,29,Matches
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,813,20,206,453,196,13,737,6,11,54.5,6,0,501,2484,1118,602,554,92.0,9,13,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,309,7,29,134,164,46,297,11,24,45.8,13,0,206,1591,834,404,212,52.5,25,20,Matches
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,7,4,6,1,0,0,6,0,0,,0,0,2,5,5,1,1,100.0,0,0,Matches
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.0,63,0,6,31,28,11,61,2,2,100.0,2,0,46,315,175,74,44,59.5,4,4,Matches
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,112,14,35,52,37,7,98,1,3,33.3,2,0,66,440,214,76,63,82.9,5,1,Matches
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,33,0,3,20,14,1,28,3,4,75.0,3,0,25,259,144,26,23,88.5,3,1,Matches
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,737,13,73,514,213,13,697,24,42,57.1,27,3,552,3294,1979,611,548,89.7,27,34,Matches
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,338,300,338,0,0,0,244,0,0,,0,0,163,638,356,155,154,99.4,0,0,Matches
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,82,2,7,39,39,11,81,2,2,100.0,2,0,33,147,46,117,64,54.7,4,2,Matches
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1182,82,387,537,333,14,964,26,45,57.8,30,0,701,4849,2641,665,599,90.1,22,18,Matches
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1231,83,395,675,223,9,986,14,26,53.8,16,3,636,3313,1909,677,608,89.8,20,17,Matches
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,48,1,12,25,12,0,48,0,0,,0,0,32,145,49,31,29,93.5,0,2,Matches
Kevin Agudelo,co COL,"FW,DF",Fiorentina,it Serie A,20,1998,0.1,9,0,1,5,4,0,9,0,0,,0,0,7,58,26,9,6,66.7,0,0,Matches
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,402,6,82,217,147,20,396,21,33,63.6,23,0,326,2597,1639,348,285,81.9,12,13,Matches
