player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,3,1,1,26,5,3,19.2,0.93,0.18,0.08,0.40,2.3,1.6,0.06,+0.7,+0.4,Matches
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,0,0,0,14,4,0,28.6,0.39,0.11,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,3,0,0,19,5,0,26.3,0.68,0.18,0.16,0.60,1.4,1.4,0.07,+1.6,+1.6,Matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,1,0,0,6,3,0,50.0,3.44,1.72,0.17,0.33,1.3,1.3,0.22,-0.3,-0.3,Matches
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1,0,0,33,7,3,21.2,1.63,0.35,0.03,0.14,1.7,1.7,0.05,-0.7,-0.7,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0,0,0,5,0,0,0.0,0.72,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,0,0,7,4,0,57.1,0.37,0.21,0.29,0.50,1.4,1.4,0.20,+0.6,+0.6,Matches
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,15,0,0,88,35,0,39.8,3.58,1.42,0.17,0.43,15.3,15.3,0.17,-0.3,-0.3,Matches
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0,0,0,5,2,0,40.0,0.68,0.27,0.00,0.00,0.4,0.4,0.08,-0.4,-0.4,Matches
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,33.5,2,0,0,15,6,0,40.0,0.45,0.18,0.13,0.33,2.0,2.0,0.13,0.0,0.0,Matches
