player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_games_starts,header_playing_minutes,header_playing_goals,header_performance_assists,header_performance_pens_made,header_performance_pens_att,header_performance_cards_yellow,header_performance_cards_red,header_performance_goals_per90,header_per90_assists_per90,header_per90_goals_assists_per90,header_per90_goals_pens_per90,header_per90_goals_assists_pens_per90,header_per90_xg,header_expected_npxg,header_expected_xa,header_expected_xg_per90,header_per90_xa_per90,header_per90_xg_xa_per90,header_per90_npxg_per90,header_per90_npxg_xa_per90,header_per90_matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,29,"2,507",3,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.3,1.6,3.2,0.08,0.11,0.20,0.06,0.17,Matches
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,"3,240",0,1,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,3.7,0.02,0.10,0.12,0.02,0.12,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,"2,520",3,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.2,0.05,0.01,0.05,0.05,0.05,Matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,6,1,157,1,0,0,0,1,0,0.57,0.00,0.57,0.57,0.57,1.3,1.3,0.2,0.75,0.10,0.85,0.75,0.85,Matches
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,"1,817",1,2,0,0,5,0,0.05,0.10,0.15,0.05,0.15,1.7,1.7,1.4,0.08,0.07,0.15,0.08,0.15,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,6,623,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.0,0.03,0.15,0.18,0.03,0.18,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,19,"1,688",2,0,0,0,2,1,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.1,0.08,0.00,0.08,0.08,0.08,Matches
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,"2,215",15,3,0,0,2,0,0.61,0.12,0.73,0.61,0.73,15.3,15.3,2.5,0.62,0.10,0.72,0.62,0.72,Matches
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,8,663,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.05,0.02,0.07,0.05,0.07,Matches
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,34,34,"3,014",2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,2.0,2.0,1.5,0.06,0.05,0.10,0.06,0.10,Matches
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,30,12,"1,111",4,2,0,0,0,0,0.32,0.16,0.49,0.32,0.49,4.2,4.2,1.4,0.34,0.11,0.45,0.34,0.45,Matches
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,14,10,953,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,0.04,0.06,0.10,0.04,0.10,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,15,6,746,5,1,0,0,1,0,0.60,0.12,0.72,0.60,0.72,4.2,4.2,0.6,0.50,0.08,0.58,0.50,0.58,Matches
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,9,0,177,1,0,0,0,1,0,0.51,0.00,0.51,0.51,0.51,1.4,1.4,0.2,0.73,0.09,0.81,0.73,0.81,Matches
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,5,2,231,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.22,0.00,0.22,0.22,0.22,Matches
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,4,0,46,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.18,0.18,0.00,0.18,Matches
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,21,11,"1,020",3,3,0,0,3,0,0.26,0.26,0.53,0.26,0.53,0.9,0.9,2.1,0.08,0.19,0.27,0.08,0.27,Matches
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,14,0,208,1,0,0,1,3,0,0.43,0.00,0.43,0.43,0.43,1.3,0.6,0.0,0.57,0.00,0.57,0.25,0.25,Matches
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,23,20,"1,805",1,0,0,0,5,1,0.05,0.00,0.05,0.05,0.05,0.3,0.3,1.9,0.02,0.09,0.11,0.02,0.11,Matches
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,31,23,"2,099",1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,0.9,0.9,0.9,0.04,0.04,0.08,0.04,0.08,Matches
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,3,0,68,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.14,0.14,0.00,0.14,Matches
Kevin Agudelo,co COL,"FW,DF",Fiorentina,it Serie A,20,1998,2,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,10,7,666,1,1,0,0,5,1,0.14,0.14,0.27,0.14,0.27,1.0,1.0,1.4,0.14,0.18,0.32,0.14,0.32,Matches
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,11,11,957,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.7,0.7,0.0,0.07,0.00,0.07,0.07,0.07,Matches
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,24,18,"1,452",16,3,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14.2,11.9,2.5,0.88,0.16,1.04,0.74,0.90,Matches
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,19,11,"1,072",0,2,0,0,2,2,0.00,0.17,0.17,0.00,0.17,0.2,0.2,1.4,0.02,0.12,0.14,0.02,0.14,Matches
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,9,2,228,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,11,8,630,1,1,0,0,3,1,0.14,0.14,0.29,0.14,0.29,0.9,0.9,0.1,0.13,0.02,0.14,0.13,0.14,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,32,27,"2,502",0,1,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.9,0.9,1.0,0.03,0.04,0.07,0.03,0.07,Matches
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,30,20,"2,028",0,2,0,0,8,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,2.3,0.02,0.10,0.12,0.02,0.12,Matches
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,12,6,536,0,1,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,17,16,"1,282",0,2,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,0.9,0.01,0.07,0.08,0.01,0.08,Matches
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,9,0,139,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.09,0.03,0.12,0.09,0.12,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,26,24,"2,058",8,4,1,1,3,0,0.35,0.17,0.52,0.31,0.48,6.5,5.7,3.0,0.28,0.13,0.41,0.25,0.38,Matches
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,29,25,"2,309",0,1,0,0,2,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,0.7,0.03,0.03,0.05,0.03,0.05,Matches
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,9,0,99,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.15,0.00,0.15,0.15,0.15,Matches
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,29,29,"2,503",2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.6,2.6,0.6,0.09,0.02,0.11,0.09,0.11,Matches
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,15,5,544,2,1,0,0,1,0,0.33,0.17,0.50,0.33,0.50,1.1,1.1,1.2,0.18,0.20,0.37,0.18,0.37,Matches
Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,18,12,"1,142",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,28,27,"2,498",1,1,0,0,0,0,0.04,0.04,0.07,0.04,0.07,0.7,0.7,1.9,0.03,0.07,0.09,0.03,0.09,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,17,17,"1,400",0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.3,0.04,0.08,0.12,0.04,0.12,Matches
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,24,11,"1,174",7,1,1,1,6,0,0.54,0.08,0.61,0.46,0.54,6.9,6.2,2.2,0.53,0.17,0.70,0.47,0.65,Matches
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,27,25,"2,187",2,5,0,0,7,0,0.08,0.21,0.29,0.08,0.29,1.0,1.0,3.4,0.04,0.14,0.18,0.04,0.18,Matches
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34,34,"2,933",6,15,1,1,5,0,0.18,0.46,0.64,0.15,0.61,6.6,5.8,10.1,0.20,0.31,0.51,0.18,0.49,Matches
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,36,"3,237",1,0,0,0,9,0,0.03,0.00,0.03,0.03,0.03,1.5,1.5,0.4,0.04,0.01,0.05,0.04,0.05,Matches
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,20,9,867,0,3,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.6,0.6,1.8,0.06,0.19,0.24,0.06,0.24,Matches
